Name: CCTV-1, URL: http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000001000004953/1.m3u8$订阅源, Date: None, Delay: -inf ms, Speed: inf M/s, Resolution: None
Name: 阿衣莫, URL: http://mobi.kuwo.cn/tmevideo/tme7020227.mp4$订阅源, Date: None, Delay: 2576 ms, Speed: 3.49 M/s, Resolution: None
Name: ☆泡沫, URL: https://alimov2.a.kwimgs.com/upic/2023/08/19/20/BMjAyMzA4MTkyMDE2MzZfMzM5Njk4MTMyNl8xMTA5MDEwNzA2NDJfMF8z_b_Bdc4b6f3b05140acd82a8c7c5cfbad250.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆或者累, URL: https://alimov2.a.kwimgs.com/upic/2023/08/07/10/BMjAyMzA4MDcxMDQxMjFfMzM5Njk4MTMyNl8xMDk4ODA1NjIyMDJfMF8z_b_Bac7f15b8e8955af7e55d787a8bfb9ee3.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆好想抱着你, URL: https://txmov2.a.kwimgs.com/upic/2023/07/31/15/BMjAyMzA3MzExNTE0NDBfMzM5Njk4MTMyNl8xMDkzMzMzMzIxNzZfMF8z_b_B1948380dbccf0f753597da137aca876b.mp4$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
Name: ☆我会等, URL: https://txmov2.a.kwimgs.com/upic/2023/07/17/14/BMjAyMzA3MTcxNDQ1NDFfMzM5Njk4MTMyNl8xMDgxODA4NDc3MzNfMF8z_b_B7f4075f5eff6f93be66b51bc90ad5dbd.mp4$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
Name: ☆吻得太逼真, URL: https://alimov2.a.kwimgs.com/upic/2023/07/15/08/BMjAyMzA3MTUwODEyMzZfMzM5Njk4MTMyNl8xMDc5ODY1ODQxNzRfMF8z_b_B286fe2d65fc56fdba2a862490d343100.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆忘川彼岸, URL: https://alimov2.a.kwimgs.com/upic/2023/07/12/20/BMjAyMzA3MTIyMDEyNTlfMzM5Njk4MTMyNl8xMDc3OTI5ODAyMDVfMF8z_b_Ba7edcee8d69c709d5e6eccdb5333d13b.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆晚风心里吹, URL: https://alimov2.a.kwimgs.com/upic/2023/07/10/14/BMjAyMzA3MTAxNDE5MTdfMzM5Njk4MTMyNl8xMDc2MDM1MDcwMjhfMF8z_b_B2c9fa52d46ef9499c4682907e8328111.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆天若有情, URL: https://alimov2.a.kwimgs.com/upic/2023/07/08/21/BMjAyMzA3MDgyMTAyNTJfMzM5Njk4MTMyNl8xMDc0NjkwMDY4OThfMF8z_b_B0ea89c9392bf09bfff4afd532dc8cca9.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆她会魔法吧, URL: https://txmov2.a.kwimgs.com/upic/2023/07/05/14/BMjAyMzA3MDUxNDI4MDNfMzM5Njk4MTMyNl8xMDcxOTQ0MDAzMTZfMF8z_b_Ba25f91cfecba0a4a29040d64165ff029.mp4$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
Name: ☆思念绕指尖.https://txmov2.a.kwimgs.com/upic/2023/07/03/14/BMjAyMzA3MDMxNDQ3MzFfMzM5Njk4MTMyNl8xMDcwMzkxMjk4MjlfMF8z_b_B662f5e109deb14476a3c73a57cc6b6c9.mp4
☆如愿, URL: https://alimov2.a.kwimgs.com/upic/2023/06/29/10/BMjAyMzA2MjkxMDAxNDNfMzM5Njk4MTMyNl8xMDY2ODcwODY0NzRfMF8z_b_Bb3a3c0fc1723f611bbb6a13b1af7b7ce.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆木偶戏, URL: https://alimov2.a.kwimgs.com/upic/2023/06/17/08/BMjAyMzA2MTcwODMxMDBfMzM5Njk4MTMyNl8xMDU3MDgyMTY4MjJfMF8z_b_Bf4b1d406c2bee6427993f91507e04c34.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆剑魂, URL: https://alimov2.a.kwimgs.com/upic/2023/06/07/09/BMjAyMzA2MDcwOTU2NTVfMzM5Njk4MTMyNl8xMDQ5NDE1MDMyMThfMF8z_b_Bd10d62f3146f28f2a2fe7876fac0b996.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆桃花诺, URL: https://alimov2.a.kwimgs.com/upic/2023/05/30/11/BMjAyMzA1MzAxMTE4MjFfMzM5Njk4MTMyNl8xMDQzMTcwNjA3NTZfMF8z_b_B18f7259c70b0cca9b64e2085b98cdfae.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆作酒, URL: https://txmov2.a.kwimgs.com/upic/2023/05/12/14/BMjAyMzA1MTIxNDI0MDZfMzM5Njk4MTMyNl8xMDI4NTExODIzMjRfMF8z_b_Bb991494a13c1280bda5a8d70459f3f52.mp4$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
Name: ☆下个路口见, URL: https://alimov2.a.kwimgs.com/upic/2023/08/26/15/BMjAyMzA4MjYxNTA2MDlfMzUwMDUzNzE1MV8xMTE0MzY4MTczMjBfMl8z_b_Badf90ff56c226b46d0427e6024b748bc.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆我在广州等你, URL: https://alimov2.a.kwimgs.com/upic/2023/10/14/15/BMjAyMzEwMTQxNTMzMzNfMzUwMDUzNzE1MV8xMTQ5Njc2NTY1NDhfMl8z_b_Bb09edbc5c475de303114646ba69364b6.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆不再联系, URL: https://alimov2.a.kwimgs.com/upic/2023/09/21/01/BMjAyMzA5MjEwMTE0MDdfMzUwMDUzNzE1MV8xMTMyMjAzNjY1ODFfMl8z_b_Ba4613de9652b2d3e146dec96ffce2186.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆斑马斑马, URL: https://alimov2.a.kwimgs.com/upic/2023/09/19/17/BMjAyMzA5MTkxNzM5MzBfMzUwMDUzNzE1MV8xMTMxMzEwOTM4ODdfMl8z_bF_B9698132f742dabc0a3206bb7268e6965.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆卜卦, URL: https://txmov2.a.kwimgs.com/upic/2023/08/09/14/BMjAyMzA4MDkxNDUzMjRfMzUwMDUzNzE1MV8xMTAwNjE1NTk3ODhfMl8z_b_Bc2b167ee144cd617ded961fccf210da8.mp4$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
Name: ☆一笑江湖, URL: https://txmov2.a.kwimgs.com/upic/2023/08/09/05/BMjAyMzA4MDkwNTI0MzNfMzUwMDUzNzE1MV8xMTAwMzA3NTg1MzdfMl8z_b_Badd45f992854ef4d55cd8f5cebfd884f.mp4$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
Name: ☆爱不得忘不得, URL: https://txmov2.a.kwimgs.com/upic/2023/08/08/21/BMjAyMzA4MDgyMTM0MDlfMzUwMDUzNzE1MV8xMTAwMTMxMDk1MzVfMl8z_b_B70f84eb4b2877fb6d0720502f6d4083c.mp4$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
Name: ☆难忘, URL: https://alimov2.a.kwimgs.com/upic/2023/08/08/14/BMjAyMzA4MDgxNDQwMTlfMzUwMDUzNzE1MV8xMDk5Nzg4MDkxNjFfMl8z_b_Bc948bd6dca1d18ddd0e8296fb62ce505.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆虞美人, URL: https://alimov2.a.kwimgs.com/upic/2023/08/08/03/BMjAyMzA4MDgwMzQxMTNfMzUwMDUzNzE1MV8xMDk5NDY0MTcyNTRfMl8z_b_B99546b5762d9a666d4aa4023cb3de0a9.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆人生何处不相逢, URL: https://alimov2.a.kwimgs.com/upic/2023/08/07/13/BMjAyMzA4MDcxMzQ2MzhfMzUwMDUzNzE1MV8xMDk4OTMzMTQyMTVfMl8z_b_B261a6bd298f6cebe0b183c617648f862.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆我曾用心爱着你, URL: https://alimov2.a.kwimgs.com/upic/2023/08/06/22/BMjAyMzA4MDYyMjU0MjZfMzUwMDUzNzE1MV8xMDk4NTcwMDA2MDRfMl8z_b_Bd636c0f3be6c541734ed6ddc3f671389.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆忘了, URL: https://txmov2.a.kwimgs.com/upic/2023/08/06/14/BMjAyMzA4MDYxNDI3MDZfMzUwMDUzNzE1MV8xMDk4MTUxNzQ1NDdfMl8z_b_B60a3cb08802def668224fadda9b53048.mp4$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
Name: ☆西域美女, URL: https://txmov2.a.kwimgs.com/upic/2023/08/06/00/BMjAyMzA4MDYwMDEzNDNfMzUwMDUzNzE1MV8xMDk3Nzk2MTc3MjdfMF8z_b_B43fd4402082771c1019e61b948ae5d60.mp4$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
Name: ☆越南神曲, URL: https://alimov2.a.kwimgs.com/upic/2023/08/05/05/BMjAyMzA4MDUwNTQ5MjJfMzUwMDUzNzE1MV8xMDk3MDM5ODM3ODdfMF8z_b_B7172bf63ab1ba23cd273233ae6307339.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆错位时空, URL: https://alimov2.a.kwimgs.com/upic/2023/08/04/23/BMjAyMzA4MDQyMzI5NTZfMzUwMDUzNzE1MV8xMDk2OTU4NTgwMThfMF8z_b_Bb1a434a56d3e9f0f807f49b17c890b15.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆可不可以, URL: https://txmov2.a.kwimgs.com/upic/2023/08/04/13/BMjAyMzA4MDQxMzI1MjBfMzUwMDUzNzE1MV8xMDk2NDg5MzgzOTFfMl8z_b_B88b843adc19fefc005190462c73b8a48.mp4$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
Name: ☆女孩, URL: https://alimov2.a.kwimgs.com/upic/2023/08/04/04/BMjAyMzA4MDQwNDE4MjdfMzUwMDUzNzE1MV8xMDk2MjMzNDYwNTdfMl8z_b_B8e6ab320b1d831bbc8a3bff3a38b848d.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆真的爱你, URL: https://alimov2.a.kwimgs.com/upic/2023/08/03/17/BMjAyMzA4MDMxNzU3NTRfMzUwMDUzNzE1MV8xMDk1ODg0OTM5ODRfMl8z_b_B9cd96b94554cd360f2edf7e6afa70d89.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆嘉宾, URL: https://alimov2.a.kwimgs.com/upic/2023/08/03/01/BMjAyMzA4MDMwMTA4NTJfMzUwMDUzNzE1MV8xMDk1NDExMDQ4NzdfMl8z_b_B88c7e9dfecd64f9bc7d28c3386a93455.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆若把你, URL: https://alimov2.a.kwimgs.com/upic/2023/08/02/18/BMjAyMzA4MDIxODE0MjVfMzUwMDUzNzE1MV8xMDk1MTAyNDQ5OTZfMl8z_b_Be41cdadf201349e1beb56be90e7e438c.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆你的样子, URL: https://txmov2.a.kwimgs.com/upic/2023/08/02/02/BMjAyMzA4MDIwMjM1MDVfMzUwMDUzNzE1MV8xMDk0NjI4NTI5NDhfMl8z_b_B180ec84c183f378933a11512d162f1c4.mp4$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
Name: ☆合适, URL: https://txmov2.a.kwimgs.com/upic/2023/08/01/19/BMjAyMzA4MDExOTE5MjZfMzUwMDUzNzE1MV8xMDk0MzQ5MTk4MjNfMl8z_b_B79a9ae8885ed7396e105166ff2a7a4d2.mp4$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
Name: ☆很好听dj, URL: https://alimov2.a.kwimgs.com/upic/2023/07/31/22/BMjAyMzA3MzEyMjAzMjBfMzUwMDUzNzE1MV8xMDkzNjc5NDI5MzJfMl8z_b_B002c8d94db2c0e0ca7d81d84678b4ed9.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆护花使者, URL: https://alimov2.a.kwimgs.com/upic/2023/07/27/14/BMjAyMzA3MjcxNDA3MDhfMzUwMDUzNzE1MV8xMDg5OTYxMTA0NDBfMl8z_b_Bc80cec26e6c8cbeae064bea41ab58d3a.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆月亮不曾奔我来, URL: https://alimov2.a.kwimgs.com/upic/2023/07/27/00/BMjAyMzA3MjcwMDEzNDBfMzUwMDUzNzE1MV8xMDg5NjI3MDUyMzBfMl8z_b_Bbe40fd5c0503d204b062a77c8a2c834c.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆特别的爱给特别的你, URL: https://alimov2.a.kwimgs.com/upic/2023/07/26/14/BMjAyMzA3MjYxNDAwNDhfMzUwMDUzNzE1MV8xMDg5MTUxNTkyMzdfMl8z_b_Bd1197da32eb1b75b6854664cefc52e97.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆笼子, URL: https://alimov2.a.kwimgs.com/upic/2023/07/25/23/BMjAyMzA3MjUyMzU1NTVfMzUwMDUzNzE1MV8xMDg4ODE3Njk1NDBfMl8z_b_B57bcec6217a4d88f8e65a3fb215a24c7.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆念平生, URL: https://alimov2.a.kwimgs.com/upic/2023/07/25/14/BMjAyMzA3MjUxNDMwMzJfMzUwMDUzNzE1MV8xMDg4MzczMzk5MjhfMl8z_b_B7c764955cbc3e81f8d3b1e17781b2475.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆听, URL: https://alimov2.a.kwimgs.com/upic/2023/07/24/17/BMjAyMzA3MjQxNzAzMTdfMzUwMDUzNzE1MV8xMDg3NjUxNjQwMjVfMl8z_b_Bd1163b69b08ba0831d8c27e83faf9fb8.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆灵魂习惯, URL: https://alimov2.a.kwimgs.com/upic/2023/07/24/03/BMjAyMzA3MjQwMzM2NDNfMzUwMDUzNzE1MV8xMDg3MjUwODE2MDlfMl8z_b_Be302741e7902735315d6ab4d91e8f41b.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆做酒, URL: https://alimov2.a.kwimgs.com/upic/2023/07/19/01/BMjAyMzA3MTkwMTUxMzRfMzUwMDUzNzE1MV8xMDgzMTEwODM2OTZfMF8z_b_Bca29deab97bd6d0be2ed811a605fdcbe.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆燕无歇, URL: https://txmov2.a.kwimgs.com/upic/2023/07/19/01/BMjAyMzA3MTkwMTQ2NTdfMzUwMDUzNzE1MV8xMDgzMTEwMDE2NjRfMF8z_b_Be38462e17823715ea71e499ed818d1c5.mp4$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
Name: ☆无哥骷, URL: https://txmov2.a.kwimgs.com/upic/2023/07/19/01/BMjAyMzA3MTkwMTQ1NDdfMzUwMDUzNzE1MV8xMDgzMTA5ODA0OThfMF8z_b_B5baa776881443bda78efb570c3841f4b.mp4$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
Name: ☆来迟, URL: https://alimov2.a.kwimgs.com/upic/2023/07/19/01/BMjAyMzA3MTkwMTQwNDVfMzUwMDUzNzE1MV8xMDgzMTA4ODY3ODlfMF8z_b_Bbd48b2af17f0bf1d8db03abe58e974f8.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: ☆向云端, URL: https://txmov2.a.kwimgs.com/upic/2023/07/15/23/BMjAyMzA3MTUyMzA4MTJfMzUwMDUzNzE1MV8xMDgwNTU2MzcxNzJfMF8z_b_B4495a19eefa94ff40d651b48e6810cdb.mp4$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
Name: 羞答答的玫瑰, URL: https://alimov2.a.kwimgs.com/upic/2023/07/28/11/BMjAyMzA3MjgxMTQ3MDRfMzM5Njk4MTMyNl8xMDkwNjczMTE5NDlfMF8z_b_B8423a7dac79a1e58599a94e4226e7987.mp4?clientCacheKey=3xyfhpvzhi825f4_b.mp4&tt=b&di=75b3b1ea&bp=10000$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: 难却, URL: https://alimov2.a.kwimgs.com/upic/2024/01/23/10/BMjAyNDAxMjMxMDM3NTFfMzM5Njk4MTMyNl8xMjI5MTQwMzIwNDdfMF8z_b_B2050c32644e2748e364af06a8fdd63c5.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: 旧梦一场, URL: https://alimov2.a.kwimgs.com/upic/2024/01/08/11/BMjAyNDAxMDgxMTA4MzRfMzM5Njk4MTMyNl8xMjE2MTA4MzA1NzVfMF8z_b_Bc4838009184d86069bda9e4bdb946dd5.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: 都说, URL: https://alimov2.a.kwimgs.com/upic/2023/12/27/19/BMjAyMzEyMjcxOTM5MjZfMzM5Njk4MTMyNl8xMjA2ODE3MTY0MDVfMF8z_b_Bdb05a439b2ce238eb1ab17e0b7b40ba7.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: 当我取过她, URL: https://txmov2.a.kwimgs.com/upic/2023/12/21/19/BMjAyMzEyMjExOTQ3MzBfMzM5Njk4MTMyNl8xMjAxOTI1MTU2NThfMF8z_b_B8f68734d0b6d210bd24b20e1eb0a374a.mp4$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
Name: 此生过半, URL: https://alimov2.a.kwimgs.com/upic/2023/12/15/15/BMjAyMzEyMTUxNTE5MjRfMzM5Njk4MTMyNl8xMTk2OTMxMDI2NDJfMF8z_b_B0799a12d42e3cfae45d5d8de022528b3.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: 38度6, URL: https://alimov2.a.kwimgs.com/upic/2023/11/16/13/BMjAyMzExMTYxMzExNDJfMzM5Njk4MTMyNl8xMTcyNzU3MDE3NTZfMF8z_b_B6e340974a0d46c08d1013ff23c7f6b17.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: 言不由衷, URL: https://txmov2.a.kwimgs.com/upic/2023/10/27/15/BMjAyMzEwMjcxNTM2NThfMzM5Njk4MTMyNl8xMTU4NjA1Nzk2MTNfMF8z_b_B43ae4ec817beb9429a9adf274f43eb6a.mp4$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
Name: 我的心太乱, URL: https://alimov2.a.kwimgs.com/upic/2023/10/14/10/BMjAyMzEwMTQxMDI4MDhfMzM5Njk4MTMyNl8xMTQ5NDYwNjk3OTFfMF8z_b_B403e1520b39d90b4446cfee21732e058.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: 热情如火, URL: https://alimov2.a.kwimgs.com/upic/2023/10/06/17/BMjAyMzEwMDYxNzI3MjdfMzM5Njk4MTMyNl8xMTQ0NzMyMDcyODNfMF8z_b_B3f156d567c83c0f043a134acdceb0b27.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: 她没有, URL: https://txmov2.a.kwimgs.com/upic/2023/10/02/15/BMjAyMzEwMDIxNTQxMjBfMzM5Njk4MTMyNl8xMTQxMTYyMzExNDVfMF8z_b_B99c2bd7c7f72c7031f98016ba47000e6.mp4$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
Name: 醒不来的梦, URL: https://txmov2.a.kwimgs.com/upic/2023/09/22/17/BMjAyMzA5MjIxNzM1NTJfMzM5Njk4MTMyNl8xMTMzMTg3NTU2NjhfMF8z_b_B9370feceb48c2ad1958ec385f822fa7a.mp4$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
Name: 玩疯1997https://alimov2.a.kwimgs.com/upic/2023/09/10/21/BMjAyMzA5MTAyMTUxNDZfMzM5Njk4MTMyNl8xMTI1NDAzMTUxNjBfMF8z_b_B53f45d71b1835082048ae0041693df3a.mp4?clientCacheKey=3xh7mqjrq24x53k_b.mp4&tt=b&di=75b3b1ea&bp=10000
泡沫, URL: https://txmov2.a.kwimgs.com/upic/2023/08/19/20/BMjAyMzA4MTkyMDE2MzZfMzM5Njk4MTMyNl8xMTA5MDEwNzA2NDJfMF8z_b_Bdc4b6f3b05140acd82a8c7c5cfbad250.mp4$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
Name: 活着很累, URL: https://alimov2.a.kwimgs.com/upic/2023/08/07/10/BMjAyMzA4MDcxMDQxMjFfMzM5Njk4MTMyNl8xMDk4ODA1NjIyMDJfMF8z_b_Bac7f15b8e8955af7e55d787a8bfb9ee3.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: 好想抱着你, URL: https://alimov2.a.kwimgs.com/upic/2023/07/31/15/BMjAyMzA3MzExNTE0NDBfMzM5Njk4MTMyNl8xMDkzMzMzMzIxNzZfMF8z_b_B1948380dbccf0f753597da137aca876b.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: 虞美人, URL: https://txmov2.a.kwimgs.com/upic/2023/07/24/10/BMjAyMzA3MjQxMDE1MzhfMzM5Njk4MTMyNl8xMDg3Mzg1MDIyNDlfMF8z_b_B619755058caa32de37dc1757898da485.mp4?clientCacheKey=3xnyr7n3qatxncg_b.mp4&tt=b&di=75b3b1ea&bp=10000$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
Name: 我会等, URL: https://txmov2.a.kwimgs.com/upic/2023/07/17/14/BMjAyMzA3MTcxNDQ1NDFfMzM5Njk4MTMyNl8xMDgxODA4NDc3MzNfMF8z_b_B7f4075f5eff6f93be66b51bc90ad5dbd.mp4$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
Name: 忘川彼岸, URL: https://txmov2.a.kwimgs.com/upic/2023/07/12/20/BMjAyMzA3MTIyMDEyNTlfMzM5Njk4MTMyNl8xMDc3OTI5ODAyMDVfMF8z_b_Ba7edcee8d69c709d5e6eccdb5333d13b.mp4$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
Name: 晚风心里吹, URL: https://alimov2.a.kwimgs.com/upic/2023/07/10/14/BMjAyMzA3MTAxNDE5MTdfMzM5Njk4MTMyNl8xMDc2MDM1MDcwMjhfMF8z_b_B2c9fa52d46ef9499c4682907e8328111.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: 天若有情, URL: https://alimov2.a.kwimgs.com/upic/2023/07/08/21/BMjAyMzA3MDgyMTAyNTJfMzM5Njk4MTMyNl8xMDc0NjkwMDY4OThfMF8z_b_B0ea89c9392bf09bfff4afd532dc8cca9.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: 她会魔法吧, URL: https://alimov2.a.kwimgs.com/upic/2023/07/05/14/BMjAyMzA3MDUxNDI4MDNfMzM5Njk4MTMyNl8xMDcxOTQ0MDAzMTZfMF8z_b_Ba25f91cfecba0a4a29040d64165ff029.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: 思念指甲绕, URL: https://alimov2.a.kwimgs.com/upic/2023/07/03/14/BMjAyMzA3MDMxNDQ3MzFfMzM5Njk4MTMyNl8xMDcwMzkxMjk4MjlfMF8z_b_B662f5e109deb14476a3c73a57cc6b6c9.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: 如愿, URL: https://txmov2.a.kwimgs.com/upic/2023/06/29/10/BMjAyMzA2MjkxMDAxNDNfMzM5Njk4MTMyNl8xMDY2ODcwODY0NzRfMF8z_b_Bb3a3c0fc1723f611bbb6a13b1af7b7ce.mp4$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
Name: 你的眼神, URL: https://alimov2.a.kwimgs.com/upic/2023/06/20/08/BMjAyMzA2MjAwODI4MzhfMzM5Njk4MTMyNl8xMDU5NjQ3NTA5MzdfMF8z_b_Be3c3571129119949480139b9f913048a.mp4$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: 红尘毒酒, URL: https://alimov2.a.kwimgs.com/upic/2023/12/05/20/BMjAyMzEyMDUyMDQ0MjRfMjk4Mjk3ODMxOF8xMTg5MjgwODY0MDdfMl8z_b_B66c54baba6ccf30ce64e1ba05d16a178.mp4?clientCacheKey=3xud6b4c3gkstsq_b.mp4&tt=b&di=75b3b1ea&bp=10000$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: 白日烟火, URL: https://alimov2.a.kwimgs.com/upic/2023/10/24/11/BMjAyMzEwMjQxMTMyMzJfMjk4Mjk3ODMxOF8xMTU2NjAxOTE5MjVfMl8z_b_B2690f44d73a94ef073ca12944e22b34d.mp4?tag=1-1706079571-unknown-0-gsezwim9oj-0b2c165154512fc9&clientCacheKey=3xk9jjnavt5rxis_b.mp4&di=75b3b1ea&bp=10000&tt=b&ss=vp$订阅源, Date: None, Delay: 1880 ms, Speed: 5.30 M/s, Resolution: None
Name: 一半疯了, URL: https://txmov2.a.kwimgs.com/upic/2023/06/26/13/BMjAyMzA2MjYxMzEwNDhfMjk4Mjk3ODMxOF8xMDY0ODAxMTIxNTdfMl8z_b_B8c230eb7bad8f8cf5a9baf8c13d7800d.mp4?clientCacheKey=3x8redaakre6nhe_b.mp4&tt=b&di=75b3b1ea&bp=10000$订阅源, Date: None, Delay: 127 ms, Speed: 3.05 M/s, Resolution: None
